model,dataset,K,variant,n_star,excessB_real,excessB_star,excessB_star_sd,depth_excess,z_depth,delta,delta_sd,time_s
dinov2_g,imagenet,30,iso,10,-0.02841619491956754,-0.004844486224382725,0.0015010465304541646,-0.023571708695184813,-1.5651164238439623,0.08081277950780391,0.00775670136192715,85.59843659400941
dinov2_g,imagenet,30,aniso,10,-0.02841619491956754,0.0005697875106583609,0.006411038400558249,-0.0289859824302259,-1.7783407590685485,0.08081277950780391,0.00775670136192715,90.03319978713989
dinov2_g,imagenet,10,iso,10,-0.01901938344598611,-0.015612047393740378,0.002125234049439136,-0.0034073360522457324,-0.20656847043899215,0.08081277950780391,0.00775670136192715,97.53461122512816
dinov2_g,imagenet,10,aniso,10,-0.01901938344598611,-0.0019569653950707614,0.00503852098206322,-0.017062418050915348,-0.9968764451608012,0.08081277950780391,0.00775670136192715,101.20005011558531
dinov2_g,imagenet,60,iso,10,-0.0043651138558222224,-0.002454387472003045,0.001131368132717149,-0.0019107263838191765,-0.2209654817704256,0.08081277950780391,0.00775670136192715,113.15028238296507
dinov2_g,imagenet,60,aniso,10,-0.0043651138558222224,0.0003423610775515853,0.0046220539721875025,-0.004707474933373808,-0.4833407500715443,0.08081277950780391,0.00775670136192715,107.82990169525145
clip_b,imagenet,30,iso,10,-0.015869835461763626,-0.01020423171595708,0.002951701300106859,-0.005665603745806547,-0.7181489526679133,0.11952016031417192,0.00527248911176936,50.31082010269165
clip_b,imagenet,30,aniso,10,-0.015869835461763626,0.0005381052587337438,0.004148051630725975,-0.01640794072049737,-1.9509375149849155,0.11952016031417192,0.00527248911176936,44.566054105758674
clip_b,imagenet,10,iso,10,-0.015556571339541162,-0.019657714547495524,0.002411724425704089,0.00410114320795436,0.4119366948039484,0.11952016031417192,0.00527248911176936,48.807163953781135
clip_b,imagenet,10,aniso,10,-0.015556571339541162,0.0002551760514701823,0.003206845161283407,-0.015811747391011346,-1.5535750566264028,0.11952016031417192,0.00527248911176936,58.57132363319397
clip_b,imagenet,60,iso,10,-0.018573927770025672,-0.00370844519106374,0.0023250808406639076,-0.014865482578961932,-1.775228009496039,0.11952016031417192,0.00527248911176936,47.1954460144043
clip_b,imagenet,60,aniso,10,-0.018573927770025672,0.0012564117789140626,0.0049484859902081246,-0.019830339548939736,-2.0996212610410483,0.11952016031417192,0.00527248911176936,52.80170035362244
clip_l,imagenet,30,iso,10,-0.007219043260148938,-0.011333931722492216,0.0022456262754437877,0.004114888462343277,0.4585566106864757,0.11773132952248234,0.0051828696143681715,58.19235324859619
clip_l,imagenet,30,aniso,10,-0.007219043260148938,0.0006002085297779832,0.0037230562751348352,-0.007819251789926922,-0.8272454930859939,0.11773132952248234,0.0051828696143681715,77.84807682037355
clip_l,imagenet,10,iso,10,-0.011281406553252632,-0.022238412476284674,0.0022100491823380834,0.010957005923032042,1.3577569009042545,0.11773132952248234,0.0051828696143681715,79.75445532798767
