epoch,step,gstep,img_per_s,acc_leaf,loss_leaf,lr_enc,t
3,550,15563,80.5,0.96875,0.13,1e-05,1790111366.5773637
3,600,15613,80.7,0.9375,0.2394,1e-05,1790111521.9247441
3,650,15663,80.9,0.91796875,0.3199,1e-05,1790111675.0054657
3,700,15713,80.9,0.93359375,0.1871,1e-05,1790111834.0314567
3,750,15763,80.9,0.94921875,0.1819,1e-05,1790111991.3598936
3,800,15813,80.7,0.93359375,0.2261,1e-05,1790112154.3401387
3,850,15863,80.7,0.96875,0.1328,1e-05,1790112313.8528583
3,900,15913,80.6,0.94921875,0.1552,1e-05,1790112476.903937
3,950,15963,80.8,0.96875,0.1265,1e-05,1790112628.9877484
3,1000,16013,80.9,0.96484375,0.1474,1e-05,1790112783.0547757
3,1050,16063,80.9,0.9609375,0.1996,1e-05,1790112939.1898804
3,1100,16113,80.9,0.98828125,0.0615,1e-05,1790113099.7742484
3,1150,16163,80.7,0.99609375,0.0146,1e-05,1790113264.2551467
3,1200,16213,80.6,0.94921875,0.2319,1e-05,1790113427.821702
3,1250,16263,80.5,0.96875,0.1032,1e-05,1790113591.2408512
3,1300,16313,80.4,0.98046875,0.0741,1e-05,1790113755.7322922
3,1350,16363,80.3,0.97265625,0.0776,1e-05,1790113921.390821
3,1400,16413,80.2,0.96484375,0.1158,1e-05,1790114085.3449242
3,1450,16463,80.1,0.9609375,0.128,1e-05,1790114250.641429
3,1500,16513,80.1,0.98046875,0.0665,1e-05,1790114410.4023564
3,1550,16563,80.1,0.9765625,0.0629,1e-05,1790114570.077731
3,1600,16613,80.1,0.921875,0.4768,1e-05,1790114732.0436566
3,1650,16663,80.1,0.9375,0.2437,1e-05,1790114893.6568863
3,1700,16713,80.1,0.96875,0.1151,1e-05,1790115049.8958383
3,1750,16763,80.1,0.98828125,0.0312,1e-05,1790115207.3953907
3,1800,16813,80.1,0.91015625,0.2913,1e-05,1790115367.129471
3,1850,16863,80.2,0.96875,0.151,1e-05,1790115525.815414
3,1900,16913,80.1,0.96875,0.0913,1e-05,1790115690.142772
3,1950,16963,80.1,0.96484375,0.1124,1e-05,1790115853.6934702
3,2000,17013,80.0,0.98828125,0.0279,1e-05,1790116016.4075565
3,2050,17063,79.9,0.96484375,0.1231,1e-05,1790116181.9934943
