level,K,ratio,aniso,n,seed,excessB_real,excessB_star,depth,z,time_s
hier2,6,0.3,aniso,1000,1,-0.09019831081283589,-0.0977486407332679,0.007550329920432017,0.2504688811362582,45.225351095199585
hier2,6,0.3,aniso,1000,2,-0.08291778474169115,-0.09745770757023102,0.014539922828539872,0.48940345429651444,45.04457330703735
hier2,6,0.3,aniso,1000,3,-0.08058194963355694,-0.09887393062698706,0.018291980993430115,0.6129031908575981,49.43706130981445
hier2,6,0.3,aniso,1000,4,-0.08764294703115995,-0.09524049611482155,0.0075975490836616005,0.25485434880098584,47.49125027656555
hier2,6,0.6,iso,100,0,-0.07943196677547584,-0.08348869446536687,0.004056727689891029,0.16258278513829072,12.94923186302185
hier2,6,0.6,iso,100,1,-0.0781359245542613,-0.08224857384396574,0.004112649289704437,0.15697879384882296,12.78364109992981
hier2,6,0.6,iso,100,2,-0.08889155121954287,-0.0826641259017242,-0.006227425317818669,-0.22672820236513336,12.370451211929321
hier2,6,0.6,iso,100,3,-0.08350548842404386,-0.08246888867356135,-0.0010365997504825086,-0.04307273035772788,13.504908561706543
hier2,6,0.6,iso,100,4,-0.07991000643048189,-0.07968039817278362,-0.00022960825769827164,-0.009255863809849059,11.030920267105103
hier2,6,0.6,iso,1000,0,-0.07456097360687107,-0.07050412339895289,-0.004056850207918183,-0.18016628943076915,40.795472860336304
hier2,6,0.6,iso,1000,1,-0.08232395146177623,-0.07323020971215168,-0.00909374174962456,-0.39424210553820416,40.68610978126526
hier2,6,0.6,iso,1000,2,-0.07981925772345903,-0.0732640778679604,-0.0065551798554986385,-0.26700358697092424,40.02409219741821
hier2,6,0.6,iso,1000,3,-0.07771895619241528,-0.07266703244546541,-0.005051923746949877,-0.21122079802018517,40.56944417953491
hier2,6,0.6,iso,1000,4,-0.07639475346353757,-0.07162427680320321,-0.004770476660334352,-0.21377653426441603,38.31236004829407
hier2,6,0.6,aniso,100,0,0.0005519081555186434,-0.08328034653659488,0.08383225469211353,6.344607572088712,14.758484840393066
hier2,6,0.6,aniso,100,1,-0.01658035983633646,-0.08236025093469677,0.06577989109836031,4.778651069713078,15.401495218276978
hier2,6,0.6,aniso,100,2,-0.01710486336459635,-0.08248406999832876,0.06537920663373241,3.6176960048282645,14.904861211776733
hier2,6,0.6,aniso,100,3,-0.02075347131165947,-0.08395562452958749,0.06320215321792802,3.6738174097918916,15.358120203018188
hier2,6,0.6,aniso,100,4,-0.025733271263182242,-0.07971804056619781,0.05398476930301557,3.2253179842286523,15.29385495185852
hier2,6,0.6,aniso,1000,0,-0.010549523295792868,-0.07014771790293038,0.059598194607137514,4.246502673148573,42.308961391448975
hier2,6,0.6,aniso,1000,1,-0.013151364030941692,-0.07327677334718836,0.06012540931624667,2.8463448842843997,44.23934864997864
hier2,6,0.6,aniso,1000,2,-0.010840233249268805,-0.07289489722108393,0.062054663971815124,5.017150661653648,44.13958501815796
hier2,6,0.6,aniso,1000,3,-0.005659061591335224,-0.07261840477298474,0.06695934318164952,3.5839508112296032,44.04843521118164
hier2,6,0.6,aniso,1000,4,-0.011109710369502535,-0.07161197896573991,0.06050226859623738,3.7605679067942166,43.900201082229614
hier3,6,0.1,iso,100,0,-0.10198617768083912,-0.11659039023267925,0.014604212551840134,0.47879948412432666,10.946852445602417
hier3,6,0.1,iso,100,1,-0.11612951568822025,-0.1148622535139925,-0.0012672621742277485,-0.038197922193807035,10.999848127365112
hier3,6,0.1,iso,100,2,-0.11931848026232755,-0.11429946285629766,-0.005019017406029891,-0.14557341484405364,11.33667278289795
hier3,6,0.1,iso,100,3,-0.10870866360152179,-0.11585983254286247,0.007151168941340685,0.22057422635615975,11.299897909164429
hier3,6,0.1,iso,100,4,-0.09674104814472662,-0.11119180019494294,0.014450752050216328,0.4536589534484683,11.28834581375122
hier3,6,0.1,iso,1000,0,-0.11090507447063758,-0.10562722341996555,-0.005277851050672022,-0.1601455578894353,41.22551655769348
hier3,6,0.1,iso,1000,1,-0.11392249717842695,-0.10597983511647623,-0.007942662061950725,-0.24395586011713852,39.0594801902771
hier3,6,0.1,iso,1000,2,-0.11402521188813908,-0.10550705020822954,-0.008518161679909542,-0.23408797449432353,38.68560242652893
